date,TMP,MR,DSWRF_est,Ld,VGRD,UGRD,PRES,APCP01,RH,Pw,DT,h,A,DN_est,SH_est,DN_msm,SH_msm,NR,w_spd,w_dir
1970-10-17 22:00:00,17.57300398608292,10.300129657294585,0.0,1.2867781483813414,-1.1466461038997562,-0.8051959072488541,101202.33552194767,0.0,83.29259630742469,16.737538777069165,14.708159175455172,-51.76087030191898,308.21817738185797,0.0,0.0,,,0.17137503238140916,1.380160721887971,45.0
1970-10-17 23:00:00,17.657520760012723,10.21016047076257,0.0,1.3111591786371044,-0.797521623068123,-1.2002990522729826,101201.32411332749,0.0,82.12508503402599,16.591174537977928,14.572244880009713,-59.644174897633775,330.7553660459281,0.0,0.0,,,0.14869035434891908,1.4141300393887903,67.5
1970-10-18 00:00:00,16.95799517333076,9.560944164178007,0.0,1.2781623420018764,-0.8874498974102674,-0.6096572720610467,101147.86414131412,0.0,80.33973461203962,15.528012353778433,13.552111038026375,-62.99028999823653,181.06252653054753,0.0,0.0,,,0.16769135877244445,1.0586146316961638,45.0
1970-10-18 01:00:00,16.885782657022634,9.029495768238293,0.0,1.2552842625541887,-1.3763471213604708,0.2689861923390433,101170.88521175846,0.0,76.23976990301163,14.668220104505455,12.681189636831434,-59.59909915925319,31.202778279893078,0.0,0.0,,,0.18913039126316789,1.376347121360471,360.0
1970-10-18 02:00:00,16.063993648333486,9.048971304879363,0.0,1.267087094037068,-0.6771462201173973,0.09661005020699978,101218.75723129595,0.0,80.54604730550369,14.706813367291502,12.721232897901235,-51.44178801627288,53.30235724760629,0.0,0.0,,,0.16102655440249158,0.6771462201173972,360.0
1970-10-18 03:00:00,16.424172702747615,8.970217469505073,0.0,1.2874129471184355,-1.2102552866178355,0.2311325157827906,101283.13422496822,0.0,78.08141051094404,14.588091330802309,12.59775350411186,-40.87461948989265,68.44700879500698,0.0,0.0,,,0.1478281338564258,1.2102552866178355,360.0
1970-10-18 04:00:00,15.825783856747107,8.965353691147255,0.0,1.294965839003862,-0.7991792250448262,0.11488547952530041,101379.86054733672,0.0,81.15526082618696,14.594105669102893,12.604030063191196,-29.24803153563385,79.72802382141072,0.0,0.0,,,0.12844858190143538,0.7991792250448262,360.0
1970-10-18 05:00:00,15.705786521800816,8.793112596949019,0.0,1.2811830631958403,-0.9404023595387072,0.16517803014487797,101454.62337269515,0.0,80.26907460551318,14.324281488096533,12.320176289107081,-17.21462646803979,89.15313917683861,0.0,0.0,,,0.13986853583793168,0.9404023595387073,360.0
1970-10-18 06:00:00,15.678034228684213,8.860858150044574,0.0005457257319801349,1.2468576614779314,-1.178911029254465,0.16812819202017934,101512.71143636396,0.0,81.07781169991226,14.442905898682197,12.445543066729105,-5.145884592802508,97.91554415152419,0.0,0.0005457257319801349,,,0.17364789680901827,1.178911029254465,360.0
1970-10-18 07:00:00,16.04930163124252,8.602086778116792,0.11091475124137688,1.2262159108624218,-0.9149329564730329,-0.4813007530066396,101579.14750275391,0.0,76.91303513254947,14.03029338405907,12.00549558228214,6.665736228006816,106.85900749774115,0.0,0.11091475124137688,,,0.20160756805791702,1.029473656265958,22.5
